typ,symbol,nazwa
DZIAŁ,64,"FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZY EMERYTALNYCH"
DZIAŁ,65,"DZIAŁALNOŚĆ W ZAKRESIE UBEZPIECZEŃ, REASEKURACJI ORAZ FUNDUSZY EMERYTALNYCH, Z WYŁĄCZENIEM OBOWIĄZKOWEGO UBEZPIECZENIA SPOŁECZNEGO"
DZIAŁ,66,"DZIAŁALNOŚĆ WSPOMAGAJĄCA USŁUGI FINANSOWE, UBEZPIECZENIA I FUNDUSZE EMERYTALNE"
DZIAŁ,68,DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI
DZIAŁ,69,"DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE"
DZIAŁ,70,DZIAŁALNOŚĆ CENTRAL (HEAD OFFICES) ORAZ DORADZTWO ZWIĄZANE Z ZARZĄDZANIEM
DZIAŁ,71,DZIAŁALNOŚĆ W ZAKRESIE ARCHITEKTURY I INŻYNIERII; BADANIA I ANALIZY TECHNICZNE
DZIAŁ,72,BADANIA NAUKOWE I PRACE ROZWOJOWE
DZIAŁ,73,"DZIAŁALNOŚĆ W ZAKRESIE REKLAMY, BADANIA RYNKU I PUBLIC RELATIONS"
DZIAŁ,74,"POZOSTAŁA DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA"
DZIAŁ,75,DZIAŁALNOŚĆ WETERYNARYJNA
DZIAŁ,77,WYNAJEM I DZIERŻAWA
DZIAŁ,78,DZIAŁALNOŚĆ ZWIĄZANA Z ZATRUDNIENIEM
DZIAŁ,79,"DZIAŁALNOŚĆ ORGANIZATORÓW TURYSTYKI, AGENTÓW TURYSTYCZNYCH ORAZ POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE REZERWACJI I DZIAŁALNOŚCI Z NIĄ ZWIĄZANE"
DZIAŁ,80,DZIAŁALNOŚĆ DETEKTYWISTYCZNA I OCHRONIARSKA
DZIAŁ,81,DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z UTRZYMANIEM PORZĄDKU W BUDYNKACH I ZAGOSPODAROWANIEM TERENÓW ZIELENI
DZIAŁ,82,DZIAŁALNOŚĆ ZWIĄZANA Z ADMINISTRACYJNĄ OBSŁUGĄ BIURA I POZOSTAŁA DZIAŁALNOŚĆ WSPOMAGAJĄCA PROWADZENIE DZIAŁALNOŚCI GOSPODARCZEJ
DZIAŁ,84,ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE
DZIAŁ,85,EDUKACJA
DZIAŁ,86,OPIEKA ZDROWOTNA
DZIAŁ,87,POMOC SPOŁECZNA Z ZAKWATEROWANIEM
DZIAŁ,88,POMOC SPOŁECZNA BEZ ZAKWATEROWANIA
DZIAŁ,90,DZIAŁALNOŚĆ TWÓRCZA I DZIAŁALNOŚĆ ZWIĄZANA Z WYSTAWIANIEM PRZEDSTAWIEŃ ARTYSTYCZNYCH
DZIAŁ,91,"DZIAŁALNOŚĆ BIBLIOTEK, ARCHIWÓW, MUZEÓW ORAZ POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ"
DZIAŁ,92,DZIAŁALNOŚĆ ZWIĄZANA Z GRAMI HAZARDOWYMI
DZIAŁ,93,"DZIAŁALNOŚĆ SPORTOWA, ROZRYWKOWA I REKREACYJNA"
DZIAŁ,94,DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH
DZIAŁ,95,"NAPRAWA I KONSERWACJA KOMPUTERÓW, ARTYKUŁÓW UŻYTKU OSOBISTEGO I DOMOWEGO ORAZ POJAZDÓW SILNIKOWYCH, W TYM MOTOCYKLI"
DZIAŁ,96,DZIAŁALNOŚĆ USŁUGOWA INDYWIDUALNA
DZIAŁ,97,GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW
DZIAŁ,98,GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY
DZIAŁ,99,ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE
